id,income
50001,37833.08784394334
50002,48511.53165222219
50003,48206.35557190959
50004,39719.587709770916
50005,52844.49762665167
50006,44098.71514136008
50007,51886.10623057636
50008,49082.34308337509
50009,39210.69860023334
50010,53579.31052220592
50011,51474.48444335921
50012,51609.89136150827
50013,56203.9985192696
50014,53558.07649645967
50015,40320.993538526556
50016,47817.49391101995
50017,36105.0255605462
50018,64454.21433071255
50019,44214.95010925001
50020,24022.33308737183
50021,27847.159239507502
50022,85761.81162136073
50023,47838.464495174485
50024,49312.02910503371
50025,24654.4954239839
50026,80421.49594371369
50027,48398.51784732753
50028,51577.82856965295
50029,43683.60706991171
50030,45604.15650050932
50031,23874.282166606856
50032,63437.81592895637
50033,49233.223992790925
50034,36766.10902461049
50035,70581.63565690382
50036,55763.460946645966
50037,35637.580957549246
50038,38304.04013970805
50039,61507.08589825037
50040,40112.67856108039
50041,65568.53588280024
50042,36222.58546870691
50043,52947.25912569054
50044,36860.64532522693
50045,47841.641760429105
50046,53584.266369847945
50047,58110.25806502863
50048,50467.884691660525
50049,49233.223992790925
50050,73318.06786517732
50051,63193.90408699926
50052,59979.08547426522
50053,53160.377767174075
50054,46126.29104684896
50055,31007.377487074267
50056,48390.16516263158
50057,42697.44198389634
50058,49320.06430595558
50059,26024.254567419746
50060,27492.197684508952
50061,33621.76414660606
50062,62245.31802270808
50063,33894.20478620245
50064,38079.62348737063
50065,52516.116690021685
50066,62356.87076063622
50067,91839.95131824329
50068,47706.44128460367
50069,35108.84467479467
50070,52440.56638761482
50071,54768.020058425485
50072,39352.606028622686
50073,35019.144664532345
50074,54339.968164472964
50075,60829.517423440455
50076,54256.057549303965
50077,28926.41092679567
50078,30884.998973225793
50079,67964.173474582
50080,187466.35956802708
50081,43151.52108947699
50082,62630.514234652605
50083,26214.227076665316
50084,49233.223992790925
50085,38981.15683234691
50086,36545.9273727196
50087,37723.03523213177
50088,100880.77022252849
50089,64966.27478430493
50090,27553.497291247346
50091,38774.348452459366
50092,37753.9150425362
50093,61920.52061286225
50094,53224.43633919739
50095,64491.69815482782
50096,42486.978643579
50097,35159.07544608233
50098,27668.75799088446
50099,49233.223992790925
50100,52196.0418205865
50101,35485.779530664644
50102,57828.56244321576
50103,51340.88540165681
50104,36545.9273727196
50105,50889.8999699462
50106,57289.550060560185
50107,37380.63878868875
50108,103654.58857487458
50109,55885.016652593586
50110,51660.83660463969
50111,40773.84994137289
50112,49298.170627274936
50113,79364.43536010067
50114,41620.54474099022
50115,39321.52401381245
50116,77007.30023666877
50117,50740.82176351708
50118,32820.530488685064
50119,37458.84044575044
50120,62130.43395671885
50121,48078.8807470636
50122,41174.052108352684
50123,34289.16932155159
50124,49233.223992790925
50125,69095.19164461124
50126,38960.51816488779
50127,38560.213056203225
50128,35134.500876516395
50129,30937.969618620322
50130,66165.13219331896
50131,26358.9627200366
50132,49233.223992790925
50133,51536.28267557954
50134,42477.137540352705
50135,24011.602203294937
50136,41382.8262710837
50137,24013.468659843107
50138,41220.03532730731
50139,47233.333126655045
50140,90283.26481479433
50141,24437.136286218913
50142,59687.01960523948
50143,56445.58085295721
50144,60393.737904675
50145,49233.223992790925
50146,61920.52061286225
50147,57103.89362021182
50148,35284.6205031545
50149,11171.33413257694
50150,73529.15203431077
50151,40834.80137803285
50152,63252.33119802635
50153,36196.6386699544
50154,56244.46960871669
50155,36609.79499702431
50156,39908.944213096394
50157,52395.51718677723
50158,41406.926005814996
50159,35515.99340697706
50160,49816.85808510372
50161,45012.53391303717
50162,44603.336599895156
50163,49233.223992790925
50164,11601.620865304147
50165,64353.27957875452
50166,36613.91666259235
50167,23870.92298135251
50168,34111.57242398148
50169,37573.24649941237
50170,24214.767056520875
50171,68261.94050519189
50172,14233.576222383965
50173,37515.11316820043
50174,47706.44128460367
50175,64373.06126135316
50176,52959.69609712615
50177,41225.347578322646
50178,32812.09693339183
50179,57415.99027489839
50180,43020.95592817567
50181,60970.852473530875
50182,61590.693588298884
50183,43320.32673705735
50184,45665.97160189085
50185,49925.60567028731
50186,73210.79287566076
50187,48214.10198328259
50188,48437.50558858547
50189,36545.9273727196
50190,47706.44128460367
50191,37401.64160476452
50192,56849.52258749155
50193,26924.845804653298
50194,23990.255322904824
50195,51402.067904318064
50196,24236.417465146675
50197,60393.737904675
50198,51049.072904213324
50199,38043.43041560775
50200,49233.223992790925
50201,104738.03993071927
50202,53035.21542189112
50203,76622.36154426688
50204,68723.78813132129
50205,36545.9273727196
50206,23926.533234599883
50207,36986.670525838985
50208,63777.53817931206
50209,47706.44128460367
50210,36545.9273727196
50211,49412.096445316376
50212,35196.23905211591
50213,49233.223992790925
50214,35109.64769118703
50215,48882.70043166597
50216,26477.85034087219
50217,89887.26886539218
50218,47706.44128460367
50219,61835.46852489654
50220,44972.021024259615
50221,49351.22827203065
50222,37941.42002810412
50223,51157.64612374911
50224,49233.223992790925
50225,48215.59214359519
50226,53869.438883369294
50227,74224.33591201383
50228,23858.630752648267
50229,48324.72450848695
50230,42600.31513474267
50231,38460.17422397969
50232,84910.90782268305
50233,34836.02197525062
50234,41590.53853673282
50235,78068.45313178295
50236,47809.08685188411
50237,51943.80914540893
50238,49233.223992790925
50239,35019.144664532345
50240,24601.437779228192
50241,60683.9888559311
50242,47706.44128460367
50243,36864.273241253846
50244,26465.038855594466
50245,50370.11776885233
50246,36383.540135351504
50247,64350.81814479445
50248,71575.92960383961
50249,42122.77711747336
50250,23864.627178921903
50251,50510.45785230559
50252,23953.995581106014
50253,47706.44128460367
50254,46149.36107350289
50255,63024.206935931245
50256,35019.144664532345
50257,75933.42926622083
50258,40579.1949819304
50259,42632.68612181494
50260,61793.04830724352
50261,29323.568162486277
50262,48768.104131602064
50263,36734.187668694256
50264,26001.204756921183
50265,62475.518926930235
50266,39038.361802096726
50267,61400.40231165619
50268,50587.96940830056
50269,55384.649822213025
50270,53808.07043151018
50271,72551.52835499452
50272,58173.23676776767
50273,47713.291151190875
50274,24191.95492829043
50275,36911.676544513364
50276,66208.74101604358
50277,39397.36828546965
50278,32738.607338036705
50279,47995.66676338903
50280,23858.630752648267
50281,39110.273237246234
50282,37427.366422407424
50283,37629.70632113408
50284,26677.74499786186
50285,50325.116339708125
50286,75405.23065184297
50287,23858.630752648267
50288,32029.508045027425
50289,26731.670513000754
50290,73081.03452474633
50291,69180.62892666704
50292,31633.343884389684
50293,65310.135206641135
50294,61920.52061286225
50295,36125.84645662225
50296,25172.296961703236
50297,56291.8868663671
50298,47907.327001045924
50299,52357.105509920824
50300,36356.24623838738
50301,25634.637934253697
50302,36757.97163178935
50303,56747.69739913799
50304,36203.63862774015
50305,40484.251928282305
50306,72639.0484675339
50307,48473.02104207054
50308,35974.182270135105
50309,56433.01835325817
50310,42203.65400730919
50311,47827.22997086221
50312,47706.44128460367
50313,45384.1278491926
50314,70307.43707758779
50315,37657.245779158846
50316,36756.01517842297
50317,28666.88424577135
50318,30215.30901496407
50319,45616.98183997169
50320,28539.850772711798
50321,69201.30693412267
50322,24181.365428134603
50323,36651.63690117611
50324,50310.20249359098
50325,49233.223992790925
50326,23858.630752648267
50327,50871.491456760974
50328,50557.687870284186
50329,63738.70189840608
50330,36671.33721270285
50331,37100.27932111724
50332,59362.66896250252
50333,85649.5965091623
50334,23858.630752648267
50335,121516.14466325156
50336,49032.88240349639
50337,52387.612584459996
50338,42007.81239996638
50339,23858.630752648267
50340,60705.67723224198
50341,48941.93146807477
50342,35275.222218222596
50343,27356.923861946936
50344,27936.266151688556
50345,25328.14570973916
50346,30668.17846174763
50347,35019.144664532345
50348,62152.33766836745
50349,23858.630752648267
50350,55123.224529820116
50351,23858.630752648267
50352,48931.687732248734
50353,48342.94377652008
50354,48768.99712328582
50355,49530.24170535711
50356,56911.06130881384
50357,62035.99428100355
50358,47323.758864609576
50359,77411.12954836008
50360,40570.36796372127
50361,44431.78467246554
50362,41006.56591716119
50363,45873.644694911316
50364,34045.55300689288
50365,55135.83802332696
50366,62715.888100736745
50367,27992.34055665715
50368,31242.45678273922
50369,76841.60777894473
50370,77803.16490800442
50371,25980.93654287662
50372,56741.60874307051
50373,24281.77813047385
50374,36747.77701001744
50375,30252.33062954479
50376,30666.97170275236
50377,68566.80655091087
50378,48370.70263472672
50379,49828.74707483203
50380,73831.16777272223
50381,51868.02552649753
50382,40253.26291311548
50383,49680.46049194704
50384,48570.236882785255
50385,25501.769786235065
50386,35019.144664532345
50387,63159.1478944396
50388,36545.9273727196
50389,60393.737904675
50390,63431.39791730826
50391,48463.328086700516
50392,29005.22229395202
50393,37776.13380026279
50394,51833.04858582066
50395,36650.18470854859
50396,24502.47271146599
50397,25571.267821420457
50398,48803.882590215864
50399,23968.607482672604
50400,24002.755967766185
50401,81120.86849097193
50402,60395.39020930221
50403,45096.53136661853
50404,36720.27951936274
50405,35695.41021228003
50406,36545.9273727196
50407,38728.38420664828
50408,48583.443668960084
50409,34536.99356418017
50410,91514.01719764156
50411,35494.19172658764
50412,24139.83120429721
50413,48413.156043491486
50414,36562.50499499163
50415,63046.62014246044
50416,60393.737904675
50417,36139.96442291108
50418,36545.9273727196
50419,48688.94174403809
50420,73081.03452474633
50421,38244.24299868956
50422,48767.594179717846
50423,36229.039181850356
50424,41758.30953173795
50425,26085.161237960918
50426,40364.334874337306
50427,63215.41168041257
50428,33106.7222643821
50429,47716.72725652381
50430,52987.27772353241
50431,23858.630752648267
50432,34704.35034273485
